ref_no,order,time,cashier_name,bill_type,pickup_type,payment_method,balance,discount,taxes_svc,payment,tip,change,cashback
3005535,1,27/8/2022 20:00,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿248,฿0,฿0,฿248,฿0,฿0,฿0
3005534,2,27/8/2022 19:45,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿87,฿0,฿0,฿87,฿0,฿0,฿0
3005533,3,27/8/2022 19:35,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿239,฿0,฿0,฿239,฿0,฿0,฿0
3005532,4,27/8/2022 19:22,นุ่น,ทานที่ร้าน,-,เงินสด,฿464,฿0,฿0,"฿1,000",฿0,฿536,฿0
3005531,5,27/8/2022 19:04,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3005530,6,27/8/2022 18:46,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿304,฿0,฿0,฿304,฿0,฿0,฿0
3005529,7,27/8/2022 18:39,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿279,฿0,฿0,฿279,฿0,฿0,฿0
3005528,8,27/8/2022 18:35,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3005527,9,27/8/2022 18:34,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿30,฿0,฿0,฿30,฿0,฿0,฿0
3005526,10,27/8/2022 18:34,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,เงินสด,฿130,฿0,฿0,฿200,฿0,฿70,฿0
3005525,11,27/8/2022 18:31,นุ่น,ทานที่ร้าน,-,เงินสด,฿97,฿0,฿0,฿100,฿0,฿3,฿0
3005524,12,27/8/2022 18:31,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿55,฿0,฿0,฿55,฿0,฿0,฿0
3005523,13,27/8/2022 18:27,นุ่น,สั่งกลับบ้าน,ลูกค้ารับเองที่ร้าน,โอนเงิน,฿65,฿0,฿0,฿65,฿0,฿0,฿0
3005522,14,27/8/2022 18:03,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿135,-฿15,฿0,฿135,฿0,฿0,฿0
3005521,15,27/8/2022 17:58,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿469,฿0,฿0,฿469,฿0,฿0,฿0
3005520,16,27/8/2022 17:34,นุ่น,ทานที่ร้าน,-,โอนเงิน,฿326,฿0,฿0,฿326,฿0,฿0,฿0
3005519,17,27/8/2022 17:23,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿75,฿0,฿0,฿75,฿0,฿0,฿0
3005518,18,27/8/2022 17:03,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿135,-฿15,฿0,฿135,฿0,฿0,฿0
3005517,19,27/8/2022 16:59,นุ่น,สั่งกลับบ้าน,Line Man,อื่นๆ,฿420,฿0,฿0,฿420,฿0,฿0,฿0
3005516,20,27/8/2022 15:55,นุ่น,สั่งกลับบ้าน,GrabFood,อื่นๆ,฿349,฿0,฿0,฿349,฿0,฿0,฿0
