ref_no,time,vendor,bill_type,pickup_type,payment_method,sale,payment,tip,change
3001012,7/3/2022 11:39,2,2,7,3,400.0,400.0,0.0,0.0
3001013,7/3/2022 11:43,2,2,4,3,300.0,300.0,0.0,0.0
3001014,7/3/2022 11:52,2,2,2,2,65.0,100.0,0.0,35.0
3001015,7/3/2022 11:56,2,2,6,3,180.0,180.0,0.0,0.0
3001016,7/3/2022 11:56,2,2,6,3,180.0,180.0,0.0,0.0
3001017,7/3/2022 12:20,2,1,1,1,75.0,75.0,0.0,0.0
3001018,7/3/2022 13:27,2,2,7,3,325.0,325.0,0.0,0.0
3001019,7/3/2022 14:10,2,2,4,3,75.0,75.0,0.0,0.0
3001020,7/3/2022 15:12,2,2,7,3,80.0,80.0,0.0,0.0
3001021,7/3/2022 15:16,2,2,3,3,150.0,150.0,0.0,0.0
3001022,7/3/2022 15:21,2,2,2,2,65.0,65.0,0.0,0.0
3001023,7/3/2022 15:40,2,2,3,3,423.0,423.0,0.0,0.0
3001024,7/3/2022 15:57,2,2,2,1,165.0,165.0,0.0,0.0
3001025,7/3/2022 16:35,2,2,2,2,65.0,65.0,0.0,0.0
3001026,7/3/2022 18:08,2,2,2,2,205.0,210.0,0.0,5.0
3001027,7/3/2022 18:22,2,2,4,3,190.0,190.0,0.0,0.0
3001028,7/3/2022 19:03,2,2,6,3,225.0,225.0,0.0,0.0
3001029,7/3/2022 20:07,2,1,1,1,445.0,445.0,0.0,0.0
3001030,7/3/2022 21:05,2,2,4,3,469.0,469.0,0.0,0.0
3001031,7/3/2022 21:23,2,1,1,2,237.0,500.0,0.0,263.0
3001032,8/3/2022 11:18,2,2,2,2,65.0,100.0,0.0,35.0
3001033,8/3/2022 11:27,2,2,3,3,165.0,165.0,0.0,0.0
3001034,8/3/2022 11:30,2,2,2,2,55.0,100.0,0.0,45.0
3001035,8/3/2022 12:09,2,2,4,3,315.0,315.0,0.0,0.0
3001036,8/3/2022 12:28,2,2,7,3,80.0,80.0,0.0,0.0
3001037,8/3/2022 12:32,2,2,2,1,55.0,55.0,0.0,0.0
3001038,8/3/2022 12:40,2,1,1,1,249.0,249.0,0.0,0.0
3001039,8/3/2022 12:45,2,1,1,2,189.0,200.0,0.0,11.0
3001040,8/3/2022 12:51,2,1,1,2,411.0,500.0,0.0,89.0
3001041,8/3/2022 13:01,2,2,7,3,165.0,165.0,0.0,0.0
3001042,8/3/2022 13:42,2,2,2,2,65.0,100.0,0.0,35.0
3001043,8/3/2022 14:17,2,2,2,2,195.0,200.0,0.0,5.0
3001044,8/3/2022 14:38,2,2,2,1,65.0,65.0,0.0,0.0
3001045,8/3/2022 16:05,2,2,7,3,145.0,145.0,0.0,0.0
3001046,8/3/2022 17:08,2,2,2,1,175.0,175.0,0.0,0.0
3001047,8/3/2022 18:11,2,2,2,2,110.0,120.0,0.0,10.0
3001048,8/3/2022 18:35,2,1,1,1,239.0,239.0,0.0,0.0
3001049,8/3/2022 18:38,2,2,7,3,195.0,195.0,0.0,0.0
3001050,8/3/2022 18:53,2,2,4,3,90.0,90.0,0.0,0.0
3001051,8/3/2022 19:08,2,2,7,3,570.0,570.0,0.0,0.0
3001052,8/3/2022 19:11,2,2,4,3,339.0,339.0,0.0,0.0
3001053,8/3/2022 19:24,2,2,2,1,65.0,65.0,0.0,0.0
3001054,8/3/2022 19:51,2,2,2,1,65.0,65.0,0.0,0.0
3001055,8/3/2022 20:32,2,2,2,2,150.0,150.0,0.0,0.0
3001056,8/3/2022 20:58,2,1,1,1,340.0,340.0,0.0,0.0
3001057,8/3/2022 21:02,2,1,1,1,660.0,660.0,0.0,0.0
3001058,9/3/2022 11:29,2,2,4,3,180.0,180.0,0.0,0.0
3001059,9/3/2022 12:23,2,1,1,2,144.0,200.0,0.0,56.0
3001060,9/3/2022 12:39,2,2,5,3,90.0,90.0,0.0,0.0
3001061,9/3/2022 12:44,2,1,1,2,450.0,450.0,0.0,0.0
3001062,9/3/2022 12:49,2,2,7,3,180.0,180.0,0.0,0.0
3001063,9/3/2022 12:53,2,1,1,1,431.0,431.0,0.0,0.0
3001064,9/3/2022 13:03,2,2,3,3,180.0,180.0,0.0,0.0
3001065,9/3/2022 13:04,2,2,2,1,20.0,20.0,0.0,0.0
3001066,9/3/2022 13:07,2,1,1,2,229.0,500.0,0.0,271.0
3001067,9/3/2022 13:56,2,2,6,3,240.0,240.0,0.0,0.0
3001068,9/3/2022 13:57,2,2,2,2,20.0,20.0,0.0,0.0
3001069,9/3/2022 14:05,2,2,2,2,130.0,140.0,0.0,10.0
3001070,9/3/2022 14:32,2,2,2,2,110.0,150.0,0.0,40.0
3001071,9/3/2022 14:36,2,2,7,3,80.0,80.0,0.0,0.0
3001072,9/3/2022 14:42,2,2,2,2,110.0,120.0,0.0,10.0
3001073,9/3/2022 15:00,2,1,1,2,279.0,300.0,0.0,21.0
3001074,9/3/2022 15:13,2,2,2,1,65.0,65.0,0.0,0.0
3001075,9/3/2022 15:13,2,2,2,1,65.0,65.0,0.0,0.0
3001076,9/3/2022 15:38,2,2,3,3,559.0,559.0,0.0,0.0
3001077,9/3/2022 16:28,2,1,1,2,379.0,1000.0,0.0,621.0
3001078,9/3/2022 18:02,2,2,6,3,294.0,294.0,0.0,0.0
3001079,9/3/2022 18:12,2,2,2,2,65.0,65.0,0.0,0.0
3001080,9/3/2022 18:16,2,2,4,3,90.0,90.0,0.0,0.0
3001081,9/3/2022 18:17,2,2,2,2,65.0,500.0,0.0,435.0
3001082,9/3/2022 18:19,2,1,1,1,461.0,461.0,0.0,0.0
3001083,9/3/2022 18:47,2,2,6,3,519.0,519.0,0.0,0.0
3001084,9/3/2022 18:48,2,2,6,3,175.0,175.0,0.0,0.0
3001085,9/3/2022 18:57,2,1,1,1,227.0,227.0,0.0,0.0
3001086,9/3/2022 18:57,2,2,6,3,214.0,214.0,0.0,0.0
3001087,9/3/2022 19:10,2,1,1,1,250.0,250.0,0.0,0.0
3001088,9/3/2022 19:38,2,2,6,3,250.0,250.0,0.0,0.0
3001089,9/3/2022 19:41,2,1,1,2,205.0,500.0,0.0,295.0
3001090,9/3/2022 19:45,2,1,1,1,169.0,169.0,0.0,0.0
3001091,9/3/2022 20:10,2,2,6,3,200.0,200.0,0.0,0.0
3001092,9/3/2022 20:35,2,2,6,3,130.0,130.0,0.0,0.0
3001093,9/3/2022 20:52,2,1,1,1,514.0,514.0,0.0,0.0
3001094,9/3/2022 20:56,2,1,1,1,264.0,264.0,0.0,0.0
3001095,9/3/2022 21:05,2,2,3,3,194.0,194.0,0.0,0.0
3001096,10/3/2022 11:13,2,2,4,3,444.0,444.0,0.0,0.0
3001097,10/3/2022 11:48,2,2,2,2,249.0,500.0,0.0,251.0
3001098,10/3/2022 11:53,2,2,7,3,180.0,180.0,0.0,0.0
3001099,10/3/2022 12:15,2,1,1,2,820.0,900.0,0.0,80.0
3001100,10/3/2022 12:20,2,2,7,3,80.0,80.0,0.0,0.0
3001101,10/3/2022 12:26,2,1,1,2,264.0,300.0,0.0,36.0
3001102,10/3/2022 12:27,2,2,3,3,150.0,150.0,0.0,0.0
3001103,10/3/2022 12:28,2,2,2,2,55.0,70.0,0.0,15.0
3001104,10/3/2022 12:34,2,2,3,3,105.0,105.0,0.0,0.0
3001105,10/3/2022 12:45,2,2,4,3,195.0,195.0,0.0,0.0
